Level,Hierarchical structure,Code,Class title,Class definition
1,Group,111,Live animals,"This group comprises live animals and insects, and live semen."
2,Class,11111,Cattle and calves,"This class comprises live beef and dairy cattle, and live calves."
3,Subclass,111111,Cattle and calves,"This subclass comprises live beef and dairy cattle, and live calves."
4,Detail,1111111,Cattle,Live beef and dairy cattle.
4,Detail,1111112,Calves,Live calves.
2,Class,11112,Hogs,This class comprises live porcine animals.
3,Subclass,111121,Hogs,This subclass comprises live porcine animals.
4,Detail,1111211,Hogs for breeding,Live porcine animals raised for breeding.
4,Detail,1111212,"Suckling, weanling and starter pigs","Live young pigs and piglets, weaned and unweaned, raised for meat production."
4,Detail,1111213,Hogs for market,Live porcine animals raised for meat production.
2,Class,11113,Poultry,This class comprises live poultry.
3,Subclass,111131,Chickens,This subclass comprises live chickens.
4,Detail,1111311,Chickens for breeding,Live chickens raised for breeding.
4,Detail,1111312,Hens and pullets for laying eggs,Live chickens raised for egg production.
4,Detail,1111313,Chickens for meat,Live chickens raised for meat production.
3,Subclass,111132,Turkeys,This subclass comprises live turkeys.
4,Detail,1111321,Turkeys for breeding,Live turkeys raised for breeding.
4,Detail,1111322,Turkeys for meat,Live turkeys raised for meat production.
3,Subclass,111133,Chicks and poults,This subclass comprises live chicks and poults.
4,Detail,1111331,Chicks,"Live chicks, from hatching until placed in raising facilities."
4,Detail,1111332,Poults,"Live poults, from hatching until placed in raising facilities."
3,Subclass,111134,"Poultry (except chickens, turkeys, chicks and poults)","This subclass comprises live poultry, except chickens, turkeys, chicks and poults."
4,Detail,1111341,"Poultry (except chickens, turkeys, chicks and poults)","Live poultry, except chickens, turkeys, chicks and poults."
2,Class,11114,Other live animals,"This class comprises live animals n.e.c., live insects and live semen."
3,Subclass,111141,"Sheep, lambs and goats","This subclass comprises live sheep, lambs and goats."
4,Detail,1111411,Sheep and lambs,Live sheep and lambs.
4,Detail,1111412,Goats,Live goats.
3,Subclass,111142,Fur-bearing animals,This subclass comprises live fur-bearing animals.
4,Detail,1111421,Fur-bearing animals,Live fur-bearing animals.
3,Subclass,111143,Other miscellaneous live animals,"This subclass comprises other live animals for meat and for hair; pets and laboratory animals; bees and pollinating insects; other live animals, n.e.c.; semen; and animal embryos."
4,Detail,1111431,Other live animals for meat and for hair,Other live animals for meat and for hair.
4,Detail,1111432,Pets and laboratory animals,Live pets and laboratory animals.
4,Detail,1111433,Bees and pollinating insects,Live bees and pollinating insects.
4,Detail,1111434,"Other live animals, n.e.c.","Other live animals, n.e.c."
4,Detail,1111435,Semen,"Live semen, frozen or fresh."
4,Detail,1111436,Animal embryos,"Live animal embryos, frozen or fresh."
1,Group,112,Wheat,"This group comprises all the varieties of wheat, unmilled."
2,Class,11211,Wheat,"This class comprises all the varieties of wheat, unmilled."
3,Subclass,112111,Wheat,"This subclass comprises all the varieties of wheat, unmilled."
4,Detail,1121111,Spring and winter wheat,Unmilled spring and winter wheat.
4,Detail,1121112,Durum wheat,Unmilled durum wheat.
1,Group,113,Canola (including rapeseed),This group comprises canola and rapeseed.
2,Class,11311,Canola (including rapeseed),This class comprises canola and rapeseed.
3,Subclass,113111,Canola (including rapeseed),This subclass comprises canola and rapeseed.
4,Detail,1131111,Canola,"Canola, except rapeseed."
4,Detail,1131112,Rapeseed (except canola),"Rapeseed, except canola."
1,Group,114,"Fresh fruit, nuts and vegetables, and pulse crops","This group comprises fresh fruit, nuts, and vegetables, and pulse crops."
2,Class,11411,Fresh fruit and nuts,This class comprises fresh fruit and nuts.
3,Subclass,114111,Fresh berries,This subclass comprises fresh berries.
4,Detail,1141111,Fresh strawberries,Fresh strawberries.
4,Detail,1141112,Fresh raspberries,Fresh raspberries.
4,Detail,1141113,Fresh cranberries,Fresh cranberries.
4,Detail,1141114,Fresh blueberries,Fresh blueberries.
4,Detail,1141115,Other fresh berries,Other fresh berries.
3,Subclass,114112,Fresh citrus fruit,This subclass comprises fresh citrus fruit.
4,Detail,1141121,Fresh oranges,Fresh oranges.
4,Detail,1141122,Other fresh citrus fruit,Other fresh citrus fruit.
3,Subclass,114113,Fresh tropical and semitropical fruit (except citrus fruit),"This subclass comprises fresh tropical and semitropical fruit, except citrus fruit."
4,Detail,1141131,Fresh bananas,Fresh bananas.
4,Detail,1141132,Fresh pineapples,Fresh pineapples.
4,Detail,1141133,Fresh olives,Fresh olives.
4,Detail,1141134,Other fresh tropical and semitropical fruit,Other fresh tropical and semitropical fruit.
3,Subclass,114114,Other fresh fruit,This subclass comprises fresh fruit n.e.c.
4,Detail,1141141,Fresh apples,Fresh apples.
4,Detail,1141142,Fresh pears,Fresh pears.
4,Detail,1141143,Fresh plums and prune plums,Fresh plums and prune plums.
4,Detail,1141144,"Fresh peaches, nectarines and apricots","Fresh peaches, nectarines and apricots."
